username;crash_id;position_x;position_y;position_z;current_lap;time;session_id;collision_obj_id
carlos;1;362,541;0,00703264;401,4889;0;30/11/2019 21:11:02;0;0
isaac v.3;2;428,0123;0,04203476;307,4618;0;01/12/2019 14:16:38;1;4
isaac v.3;3;439,2631;-0,06933378;360,9474;2;01/12/2019 14:17:33;1;3
Gerard en patinete;4;362,5685;0,008495525;401,0786;0;01/12/2019 15:32:48;2;0
Gerard en patinete;5;373,0933;-0,1376775;181,4536;3;01/12/2019 15:34:36;2;6
Gerard en patinete;6;363,7617;-0,0706612;402,7128;6;01/12/2019 15:35:56;2;0
Gerard en patinete;7;299,6229;-0,1661958;407,1872;7;01/12/2019 15:36:58;2;15
Gerard en patinete;8;430,4741;-0,1940554;307,2681;11;01/12/2019 15:38:39;2;4
Gerard en patinete;9;365,3806;0,03062517;195,6487;11;01/12/2019 15:38:53;2;5
Gerard en patinete;10;285,7654;-0,1460993;399,1107;11;01/12/2019 15:39:09;2;14
Gerard en patinete;11;286,2487;0,05610912;400,1706;11;01/12/2019 15:39:12;2;14
Isaac sin piernas;12;362,7607;0,008295245;400,1895;0;01/12/2019 16:00:05;3;0
Isaac sin piernas;13;300,3588;-0,2204753;407,5075;1;01/12/2019 16:01:12;3;15
Isaac sin piernas;14;301,5202;-0,001982719;406,726;2;01/12/2019 16:01:45;3;15
Isaac sin piernas;15;301,3298;0,01580459;406,6874;3;01/12/2019 16:02:20;3;15
Isaac sin piernas;16;363,7806;0,3785762;403,8681;4;01/12/2019 16:02:22;3;0
Alexis sin camiseta;17;430,2448;-0,04511108;308,3666;8;01/12/2019 16:06:48;4;4
Manel sin mirar;18;396,7862;0,01113196;404,5013;0;01/12/2019 16:36:58;5;2
Manel sin mirar;19;401,425;0,02906213;388,9768;0;01/12/2019 16:37:03;5;1
Manel sin mirar;20;436,1805;-0,001712453;359,6156;0;01/12/2019 16:37:09;5;3
Manel sin mirar;21;374,4331;0,03279878;180,9668;0;01/12/2019 16:37:23;5;6
Manel sin mirar;22;361,7559;0,006327577;192,3104;0;01/12/2019 16:37:35;5;5
Manel sin mirar;23;374,335;0,05198409;181,7324;0;01/12/2019 16:37:40;5;6
Manel sin mirar;24;380,7895;-0,004406381;124,2228;0;01/12/2019 16:37:45;5;7
Manel sin mirar;25;146,3206;-0,08712158;275,4016;0;01/12/2019 16:38:02;5;8
Manel sin mirar;26;170,4955;-0,003890213;300,8864;0;01/12/2019 16:38:09;5;9
Manel sin mirar;27;196,7515;0,03973449;341,3611;0;01/12/2019 16:38:16;5;10
Manel sin mirar;28;219,9815;1,489507;353,6568;0;01/12/2019 16:38:23;5;11
Manel sin mirar;29;227,5089;0,01621506;385,0356;0;01/12/2019 16:38:29;5;12
Manel sin mirar;30;271,2896;-0,01134987;395,2637;0;01/12/2019 16:38:37;5;13
Manel sin mirar;31;288,1293;0,04607787;396,5017;0;01/12/2019 16:38:42;5;14
Manel sin mirar;32;300,4369;0,02154159;406,0684;0;01/12/2019 16:38:45;5;15
Manel sin mirar;33;398,3872;-0,03373737;385,5161;1;01/12/2019 16:38:53;5;1
Manel sin mirar;34;436,3411;-0,001765121;360,4205;1;01/12/2019 16:39:01;5;3
Manel sin mirar;35;429,5794;0,008111347;308,7699;1;01/12/2019 16:39:08;5;4
Manel sin mirar;36;430,6016;-0,01933576;303,5078;7;01/12/2019 16:41:51;5;4
Manel sin mirar;37;364,0894;0,01288094;400,1565;8;01/12/2019 16:42:12;5;0
Isaac cabreado;38;299,269;-0,1164816;407,7235;0;01/12/2019 17:20:41;6;15
Isaac cabreado;39;437,4784;0,04706787;356,3399;5;01/12/2019 17:22:39;6;3
Isaac cabreado;40;371,824;0,04151474;179,6284;7;01/12/2019 17:23:43;6;6
Isaac cabreado;41;439,5586;0,0381602;361,0025;9;01/12/2019 17:24:36;6;3
Isaac cabreado;42;302,9332;0,04122066;406,2774;9;01/12/2019 17:24:57;6;15
Isaac cabreado;43;305,31;0,04123584;406,8176;10;01/12/2019 17:25:25;6;15
Orpi;44;148,1088;-0,01462967;275,8638;0;02/12/2019 0:50:17;7;8
Orpi;45;301,0143;-0,01790638;406,9401;1;02/12/2019 0:50:54;7;15
Orpi;46;364,2625;-0,05509068;196,6596;2;02/12/2019 0:51:07;7;5
Orpi;47;196,9282;0,001995847;341,4013;3;02/12/2019 0:52:26;7;10
asd;48;430,5838;-0,1663565;307,8678;0;02/12/2019 16:09:45;9;4
